Title,Price,Registration Date,Mileage,Fuel Type,Transmission,Engine Size,Doors,Colour,Body Type,URL,Sale Date
Vw Golf 2002 1.6,400.00,2002,83602,Petrol,Manual,1.6,5,Silver,Hatchback,https://www.ebay.co.uk/itm/255125692946?hash=item3b66ad2212:g:40gAAOSw33ZhEP2n, 11 Sep 2021
vw golf plus,861.00,2005,141688,Diesel,Manual,1.9,4,Silver,Hatchback,https://www.ebay.co.uk/itm/224598460468?hash=item344b1c8834:g:UxUAAOSweHFhNKCf, 12 Sep 2021
 LOW MILEAGE 2008 VW Golf R32 DSG 5 Door,"6,200.00",2008,58237,Petrol,Semi-Automatic,3.2,5,Grey,Hatchback,https://www.ebay.co.uk/itm/373710202663?hash=item5702dd2727:g:3-EAAOSwDt5hNQmG, 12 Sep 2021
vw golf mk4 2.8 v6 4 motion,600.00,2000,105000,Petrol,Manual,2.8,5,Gold,Hatchback,https://www.ebay.co.uk/itm/234186232041?hash=item36869650e9:g:EV0AAOSwkVxhP3PZ, 13 Sep 2021
Volkswagen Golf FSI MkV Petrol 2007,975.00,2007,135470,Petrol,Manual,1.6,5,Silver,Hatchback,https://www.ebay.co.uk/itm/165067709375?hash=item266ecd5bbf:g:7KYAAOSwTpdhPjkQ, 14 Sep 2021
2006 VW Golf 2.0 TDi GT,"1,013.00",2006,148000,Diesel,Manual,2,5,Grey,Hatchback,https://www.ebay.co.uk/itm/174927852314?hash=item28ba83331a:g:yscAAOSwl0Ng5cUx, 14 Sep 2021
2011 Volkswagen Golf 1.6 Tdi Bluemotion,"1,800.00",2011,115000,Diesel,Manual,1.6,5,Red,Hatchback,https://www.ebay.co.uk/itm/284439583299?hash=item4239eb9a43:g:Vs4AAOSw6nJhNKWA, 15 Sep 2021
VW Golf GTI Turbo GREEN 2001,700.00,2001,129222,Petrol,Manual,1.8,5,Green,Hatchback,https://www.ebay.co.uk/itm/265309957110?hash=item3dc5b4abf6:g:rCYAAOSwjNFhPdH4, 16 Sep 2021
VW Golf TDI SE,390.00,2006,173000,Diesel,Manual,1.9,5,Silver,Hatchback,https://www.ebay.co.uk/itm/255126772008?hash=item3b66bd9928:g:RBUAAOSwhURhJTw3, 15 Sep 2021
2006 MK5 Volkswagen Golf 2.0 GTI 5dr Hatchback Red Manual ,"1,900.00",2006,155000,Petrol,Manual,2,5,Red,Hatchback,https://www.ebay.co.uk/itm/393570125510?hash=item5ba29b86c6:g:XQAAAOSw3l5g9lle, 16 Sep 2021
VW GOLF 1.6 Match 2004 petrol manual - ONLY 30k MILES - NEW MOT,"1,220.00",2004,30000,Petrol,Manual,1.6,5,Silver,Hatchback,https://www.ebay.co.uk/itm/324784105006?hash=item4b9ea4262e:g:vVIAAOSw1uthOk0f, 16 Sep 2021
Vw golf gt tdi mk5 140 3 door 2006 ,670.00,2006,227000,Diesel,Manual,2,3,Black,Hatchback,https://www.ebay.co.uk/itm/284447288392?hash=item423a612c48:g:4p8AAOSwABFhO7GD, 17 Sep 2021
"VW Golf TDI estate, just spent 1800, MOT till July 2022, FSH and just 2 owners!","1,999.00",2011,135000,Diesel,Manual,1.6,5,White,Estate,https://www.ebay.co.uk/itm/234192508086?hash=item3686f614b6:g:QIAAAOSwFR1hN2CG, 19 Sep 2021
